"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1718","300 Arballo Dr, San Francisco, CA","537","500 Webster Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1610,1267,2045
"1718","300 Arballo Dr, San Francisco, CA","541","200 San Fernando Way, St. Francis, Daly City","11/15/2016 - 12/15/2016, Every day, Daily Average",329,195,555
"1718","300 Arballo Dr, San Francisco, CA","542","2200 Kenry Way, Westborough, South San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",498,348,711
"1718","300 Arballo Dr, San Francisco, CA","543","2500 Carmel Drive, San Bruno","11/15/2016 - 12/15/2016, Every day, Daily Average",549,389,774
"1718","300 Arballo Dr, San Francisco, CA","554","200 2nd Street, Sunnyvale","11/15/2016 - 12/15/2016, Every day, Daily Average",2566,2061,3193
"1718","300 Arballo Dr, San Francisco, CA","555","500 Aldo Avenue, Santa Clara","11/15/2016 - 12/15/2016, Every day, Daily Average",2689,2200,3285
"1718","300 Arballo Dr, San Francisco, CA","591","2500 10th Avenue, Bella Vista, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2046,1458,2870
"1718","300 Arballo Dr, San Francisco, CA","608","700 11th Street, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1975,1369,2847
"1718","300 Arballo Dr, San Francisco, CA","629","100 Guerrero Street, Mission Dolores, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1451,1089,1933
"1718","300 Arballo Dr, San Francisco, CA","641","1400 Jackson Street, Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2073,1603,2679
"1718","300 Arballo Dr, San Francisco, CA","642","600 Grant Avenue, Chinatown, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1901,1375,2627
"1718","300 Arballo Dr, San Francisco, CA","643","200 Myrtle Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1821,1351,2453
"1718","300 Arballo Dr, San Francisco, CA","644","200 Jones Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1634,1184,2254
"1718","300 Arballo Dr, San Francisco, CA","645","1400 Chestnut Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2016,1578,2574
"1718","300 Arballo Dr, San Francisco, CA","646","500 Clayton Street, Haight-Ashbury, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1354,1096,1671
"1718","300 Arballo Dr, San Francisco, CA","647","800 Ashbury Street, Ashbury Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1261,999,1590
"1718","300 Arballo Dr, San Francisco, CA","648","3800 19th Street, Dolores Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1341,1047,1717
"1718","300 Arballo Dr, San Francisco, CA","649","1000 Diamond Street, Noe Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",973,738,1282
"1718","300 Arballo Dr, San Francisco, CA","650","700 Rhode Island Street, Potrero Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",966,678,1375
"1718","300 Arballo Dr, San Francisco, CA","651","2900 22nd Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1358,1018,1810
"1718","300 Arballo Dr, San Francisco, CA","652","300 Hale Street, Excelsior, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",769,523,1129
"1718","300 Arballo Dr, San Francisco, CA","653","600 Lisbon Street, Excelsior, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",798,597,1065
"1718","300 Arballo Dr, San Francisco, CA","659","200 Staples Avenue, Outer Mission, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",626,421,929
"1718","300 Arballo Dr, San Francisco, CA","660","1900 Lawton Street, Sunset District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",808,607,1073
"1718","300 Arballo Dr, San Francisco, CA","661","Building F, Buckingham Way, Lakeshore, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",112,40,310
"1718","300 Arballo Dr, San Francisco, CA","662","1300 46th Avenue, Sunset District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",799,625,1020
"1718","300 Arballo Dr, San Francisco, CA","663","200 21st Avenue, Central Richmond, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1337,1011,1766
"1718","300 Arballo Dr, San Francisco, CA","664","700 32nd Avenue, Richmond District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1129,886,1437
"1718","300 Arballo Dr, San Francisco, CA","665","0 Brookdale Avenue, Visitacion Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",965,716,1300
