Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
015,AvgPassTime,0.500526494334392,0.500530354108759,0.500517874319322,0.50053513026892,7.91583741811579E-06,0.500518578496974,0.50053441017181,0.500533234828148,NaN,NaN,0.500518118679914,NaN,NaN
016,OffUtilization,0.575364954961593,0.579310492535168,0.559250618000527,0.582978191426855,0.00931826499640358,0.56604668996519,0.584683219957997,0.58286823518852,NaN,NaN,0.573545889950721,NaN,NaN
016,EveningUtilization,0.347991044990298,0.347965603241734,0.3475085516302,0.348715994606744,0.000512102638373097,0.347478942351925,0.348503147628671,0.348444926766437,NaN,NaN,0.347646323351033,NaN,NaN
016,MorningUtilization,0.143021006172504,0.142934582582584,0.140008129361508,0.146958618016703,0.00241833485119412,0.14060267132131,0.145439341023699,0.143748437769326,NaN,NaN,0.141923188097189,NaN,NaN
016,AvgPassTime,0.500706749750791,0.500709976301952,0.500699270155531,0.50071169404495,5.54352050386126E-06,0.500701206230287,0.500712293271295,0.500711097162708,NaN,NaN,0.50070130831644,NaN,NaN
017,OffUtilization,0.577183942221858,0.578319535454688,0.568814481530505,0.582535718197845,0.00533338198748653,0.571850560234371,0.582517324209345,0.581865139673251,NaN,NaN,0.574502042773838,NaN,NaN
017,EveningUtilization,0.348173408967549,0.346503401295523,0.340160110804639,0.35860234494849,0.00727603255812575,0.340897376409423,0.355449441525675,0.354316590131803,NaN,NaN,0.343495581402929,NaN,NaN
017,MorningUtilization,0.138117565314751,0.137466330333533,0.13078349973233,0.147136584814456,0.00580287332988323,0.132314691984868,0.143920438644634,0.140851147758113,NaN,NaN,0.135071152049584,NaN,NaN
017,AvgPassTime,0.500637378078236,0.500637432280575,0.500630435517302,0.500642914306371,4.76212135918347E-06,0.500632615956877,0.500642140199595,0.500641615474612,NaN,NaN,0.500634946884932,NaN,NaN
018,OffUtilization,0.573815032514945,0.576872330000072,0.5616209348384,0.592426702895365,0.0135154656139429,0.560299566901002,0.587330498128888,0.584632106544589,NaN,NaN,0.562741968771026,NaN,NaN
018,EveningUtilization,0.34942754239037,0.349604935921587,0.342944490969684,0.359583211066019,0.00651864425944754,0.342908898130922,0.355946186649817,0.352159199288824,NaN,NaN,0.343092436621812,NaN,NaN
018,MorningUtilization,0.139916201327923,0.144968841260272,0.127834686183123,0.147680272421275,0.00874681901716185,0.131169382310761,0.148663020345085,0.147614279754597,NaN,NaN,0.132487347962788,NaN,NaN
018,AvgPassTime,0.500269707417571,0.500269666861862,0.500263639932469,0.50027545509477,4.12990682745137E-06,0.500265577510743,0.500273837324398,0.500272041083132,NaN,NaN,0.500268433253195,NaN,NaN
